Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,2-0,2-0,2-0,1-1,2-1,1-0,1-0,3-0,0-0,1-0,3-0,2-0,0-1,1-0,2-0,1-1,1-0,1-1,2-0,1-0,1-1,3-0,0-0,2-0,0-0,0-1,1-2,2-0,2-0
2,Boston Celtics,0-2,,2-1,1-3,0-2,0-1,0-2,1-0,1-0,0-1,0-2,1-1,0-1,1-0,0-1,0-2,0-0,1-1,1-0,0-1,0-1,1-1,2-0,0-1,1-1,1-0,0-1,0-2,1-0,1-2
3,Brooklyn Nets,0-2,1-2,,1-2,1-0,0-2,0-1,1-0,2-1,0-1,0-1,0-1,1-1,0-0,0-1,0-3,0-1,0-1,0-0,2-0,2-0,2-0,2-1,0-1,0-1,2-0,1-1,0-2,0-1,1-1
4,Chicago Bulls,0-2,3-1,2-1,,1-0,0-2,1-1,1-1,1-0,1-1,1-0,1-1,1-0,1-1,1-0,1-1,2-0,1-0,1-0,2-0,0-0,1-1,1-0,0-1,1-1,0-1,1-0,2-0,1-1,1-2
5,Charlotte Hornets,1-1,2-0,0-1,0-1,,0-3,0-1,2-0,0-0,0-2,0-1,1-1,0-1,0-1,0-2,2-1,2-1,1-0,1-1,3-1,0-1,1-2,1-0,1-1,0-2,0-0,0-2,1-0,1-0,1-0
6,Cleveland Cavaliers,1-2,1-0,2-0,2-0,3-0,,0-1,1-1,1-1,0-1,0-1,1-0,1-0,1-0,1-0,0-1,1-1,2-0,1-1,1-1,1-1,2-0,1-1,0-1,1-1,1-1,0-1,2-1,1-1,1-1
7,Dallas Mavericks,0-1,2-0,1-0,1-1,1-0,1-0,,1-1,1-1,0-1,0-2,0-1,0-1,2-0,1-2,1-1,2-0,3-0,2-1,2-0,1-0,1-0,2-0,0-2,0-1,2-0,1-1,1-0,2-0,2-0
8,Denver Nuggets,0-1,0-1,0-1,1-1,0-2,1-1,1-1,,1-0,0-1,0-2,2-0,1-1,1-1,1-1,1-0,0-0,2-1,2-0,0-1,1-1,1-0,0-0,1-1,0-3,1-2,0-2,0-2,1-0,0-2
9,Detroit Pistons,0-3,0-1,1-2,0-1,0-0,1-1,1-1,0-1,,0-1,1-0,2-0,0-2,0-1,0-1,0-0,1-3,0-1,0-1,2-0,1-1,2-1,1-2,1-1,0-1,2-0,1-0,1-2,0-1,0-1
10,Golden State Warriors,0-0,1-0,1-0,1-1,2-0,1-0,1-0,1-0,1-0,,4-0,1-0,1-1,2-1,0-1,2-0,0-0,2-0,2-0,0-0,3-1,2-0,1-0,1-1,1-0,3-0,0-1,1-0,2-1,0-0
11,Houston Rockets,0-1,2-0,1-0,0-1,1-0,1-0,2-0,2-0,0-1,0-4,,1-0,0-1,2-1,2-1,2-0,1-0,2-0,0-2,2-0,2-0,0-1,2-0,2-0,1-0,2-0,1-1,0-0,2-0,0-1
12,Indiana Pacers,0-3,1-1,1-0,1-1,1-1,0-1,1-0,0-2,0-2,0-1,0-1,,0-2,1-1,0-1,2-1,1-1,1-1,1-0,1-0,0-0,2-0,1-1,0-2,0-2,0-2,0-1,0-2,2-0,0-2
13,Los Angeles Clippers,0-2,1-0,1-1,0-1,1-0,0-1,1-0,1-1,2-0,1-1,1-0,2-0,,2-0,0-1,1-1,1-1,1-0,1-1,1-0,1-0,2-0,1-0,3-0,2-0,1-1,1-2,0-1,4-0,0-1
14,Los Angeles Lakers,1-0,0-1,0-0,1-1,1-0,0-1,0-2,1-1,1-0,1-2,1-2,1-1,0-2,,0-3,0-1,0-0,1-1,0-3,0-1,0-1,1-0,0-0,0-4,0-2,1-1,1-2,1-0,0-1,0-2
15,Memphis Grizzlies,0-1,1-0,1-0,0-1,2-0,0-1,2-1,1-1,1-0,1-0,1-2,1-0,1-0,3-0,,2-0,0-1,1-0,1-1,1-0,2-0,2-0,2-0,3-0,2-0,2-0,2-1,1-1,0-1,0-0
16,Miami Heat,0-2,2-0,3-0,1-1,1-2,1-0,1-1,0-1,0-0,0-2,0-2,1-2,1-1,1-0,0-2,,0-3,1-0,0-0,1-0,0-1,1-1,1-1,1-0,0-1,1-0,0-0,1-0,1-1,1-2
17,Milwaukee Bucks,1-1,0-0,1-0,0-2,1-2,1-1,0-2,0-0,3-1,0-0,0-1,1-1,1-1,0-0,1-0,3-0,,2-0,0-0,3-0,1-1,1-1,2-0,1-1,1-1,1-0,0-1,1-2,0-1,0-2
18,Minnesota Timberwolves,0-1,1-1,1-0,0-1,0-1,0-2,0-3,1-2,1-0,0-2,0-2,1-1,0-1,1-1,0-1,0-1,0-2,,0-2,1-0,0-2,0-1,0-2,0-2,1-1,0-2,0-3,0-0,0-2,0-1
19,New Orleans Pelicans,1-1,0-1,0-0,0-1,1-1,1-1,1-2,0-2,1-0,0-2,2-0,0-1,1-1,3-0,1-1,0-0,0-0,2-0,,1-1,2-0,1-0,1-1,1-0,0-2,1-1,2-1,1-0,2-0,0-2
20,New York Knicks,0-2,1-0,0-2,0-2,1-3,1-1,0-2,1-0,0-2,0-0,0-2,0-1,0-1,1-0,0-1,0-1,0-3,0-1,1-1,,1-1,1-1,2-0,0-1,0-2,0-1,0-1,0-2,0-1,0-3
21,Oklahoma City Thunder,0-1,1-0,0-2,0-0,1-0,1-1,0-1,1-1,1-1,1-3,0-2,0-0,0-1,1-0,0-2,1-0,1-1,2-0,0-2,1-1,,2-0,1-0,2-0,0-2,2-1,1-0,0-1,2-1,2-0
22,Orlando Magic,1-1,1-1,0-2,1-1,2-1,0-2,0-1,0-1,1-2,0-2,1-0,0-2,0-2,0-1,0-2,1-1,1-1,1-0,0-1,1-1,0-2,,1-1,1-0,0-1,1-0,0-0,0-3,1-1,0-3
23,Philadelphia 76ers,0-3,0-2,1-2,0-1,0-1,1-1,0-2,0-0,2-1,0-1,0-2,1-1,0-1,0-0,0-2,1-1,0-2,2-0,1-1,0-2,0-1,1-1,,0-2,0-2,0-0,0-2,0-3,0-1,0-1
24,Phoenix Suns,0-0,1-0,1-0,1-0,1-1,1-0,2-0,1-1,1-1,1-1,0-2,2-0,0-3,4-0,0-3,0-1,1-1,2-0,0-1,1-0,0-2,0-1,2-0,,1-0,1-1,1-1,1-1,0-1,2-0
25,Portland Trail Blazers,0-2,1-1,1-0,1-1,2-0,1-1,1-0,3-0,1-0,0-1,0-1,2-0,0-2,2-0,0-2,1-0,1-1,1-1,2-0,2-0,2-0,1-0,2-0,0-1,,1-1,2-1,1-0,0-0,1-0
26,Sacramento Kings,0-0,0-1,0-2,1-0,0-0,1-1,0-2,2-1,0-2,0-3,0-2,2-0,1-1,1-1,0-2,0-1,0-1,2-0,1-1,1-0,1-2,0-1,0-0,1-1,1-1,,1-1,0-2,1-0,0-0
27,San Antonio Spurs,1-0,1-0,1-1,0-1,2-0,1-0,1-1,2-0,0-1,1-0,1-1,1-0,2-1,2-1,1-2,0-0,1-0,3-0,1-2,1-0,0-1,0-0,2-0,1-1,1-2,1-1,,0-0,1-1,1-1
28,Toronto Raptors,2-1,2-0,2-0,0-2,0-1,1-2,0-1,2-0,2-1,0-1,0-0,2-0,1-0,0-1,1-1,0-1,2-1,0-0,0-1,2-0,1-0,3-0,3-0,1-1,0-1,2-0,0-0,,2-0,2-0
29,Utah Jazz,0-2,0-1,1-0,1-1,0-1,1-1,0-2,0-1,1-0,1-2,0-2,0-2,0-4,1-0,1-0,1-1,1-0,2-0,0-2,1-0,1-2,1-1,1-0,1-0,0-0,0-1,1-1,0-2,,0-1
30,Washington Wizards,0-2,2-1,1-1,2-1,0-1,1-1,0-2,2-0,1-0,0-0,1-0,2-0,1-0,2-0,0-0,2-1,2-0,1-0,2-0,3-0,0-2,3-0,1-0,0-2,0-1,0-0,1-1,0-2,1-0,
